Item_ID|Color_ID|Dimension_ID|Size_ID|SKU_ID|Qty_On_Hand|SFA_Qty_On_Hand|Activity_Type_ID|BusinessUnitID|Available_Date|Ret_Price|Program_Price|Product Description|Mat Status|UPC
||||2010059|0|0|U|POWER|20170826|39.95|27.97|PS CLICK RELEASE SHIELD DRK SMOKE|50|843142014586

||||2010060|212|212|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELD LT SILVER IRIDIU|50|843142014593

||||2010061|210|210|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELD LT BLUE IRIDIUM|50|843142014609

||||2010062|44|44|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELD LT GOLD IRIDIUM|50|843142014616

||||2010063|305|305|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELDDRK SILVER IRIDIU|50|843142014623

||||2010064|74|74|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELD DRK BLUE IRIDIUM|50|843142014630

||||2010065|33|33|U|POWER||64.95|45.47|PS CLICK RELEASE SHIELD DRK GOLD IRIDIUM|50|843142014647

||||2010066|52|52|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD HI-DEF YELLOW|50|843142014654

||||2010067|167|167|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD HI-DEF ORANGE|50|843142014661

||||2010068|295|295|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD RACE CLEAR|50|843142014678

||||2010069|307|307|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD RACE LT SMOKE|50|843142014685

||||2010070|0|0|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD RACE DRK SMOKE|50|843142014692

||||2010071|433|433|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD RACE HI-DEF YELL|50|843142014708

||||2010072|534|534|U|POWER||42.95|30.07|PS CLICK RELEASE SHIELD RACE HI-DEF ORNG|50|843142014715

||||2010073|68|68|U|POWER||4.95|3.47|PS CLICK RELEASE SHIELD RACE TEAR-OFF PO|50|843142014722

||||2010074|0|0|U|POWER||19.95||PS STAR TOP LINER GREY XS|50|843142014739

||||2010075|38|38|U|POWER||19.95||PS STAR TOP LINER GREY S|50|843142014746

